Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"61","Unassigned","Advani Hotels & Resorts (India) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"62","Unassigned","Advent Hotels International Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"64","Unassigned","Aegis Logistics Limited","https://aegislogistics.com","readymade-fallback","HIGH","NO","N/A","Solutions@AegisLogistics.com","[General Contact Email] Solutions@AegisLogistics.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"65","Unassigned","Aegis Vopak Terminals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"67","Unassigned","Aequs Limited","https://aequs.com","readymade-fallback","HIGH","NO","N/A","Company.secretary@aequs.com","[Investor Grievance / Compliance Officer Email] Company.secretary@aequs.com; [General Contact Email] Company.secretary@aequs.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"68","Unassigned","Aeroflex Enterprises Limited","https://aeroflex.co.il","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"69","Unassigned","Aeroflex Industries Limited","https://aeroflexindia.com","readymade-fallback","HIGH","NO","N/A","info@aeroflexindia.com","[Investor Grievance / Compliance Officer Email] corporate@aeroflexindia.com; [General Contact Email] info@aeroflexindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
"70","Unassigned","Aeroflex Neu Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"72","Unassigned","Aether Industries Limited","https://aether.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"73","Unassigned","Afcons Infrastructure Limited","https://afcons.com","readymade-fallback","HIGH","NO","N/A","compliance@afcons.com","[Investor Grievance / Compliance Officer Email] compliance@afcons.com; [General Contact Email] compliance@afcons.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 38. Lighthouse A11y: 30/100."
"74","Unassigned","Affle 3i Limited","https://affleico.com","readymade-fallback","HIGH","NO","N/A","info@affleico.com","[General Contact Email (Guessed Pattern)] info@affleico.com; [Investor Grievance Email (Guessed Pattern)] contact@affleico.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"75","Unassigned","Affordable Robotic & Automation Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"78","Unassigned","Agarwal Industrial Corporation Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"81","Unassigned","Agi Infra Limited","https://agiinfra.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"83","Unassigned","Agri-Tech (India) Limited","https://agritechtomorrow.com","readymade-fallback","HIGH","NO","N/A","info@agritechtomorrow.com","[General Contact Email (Guessed Pattern)] info@agritechtomorrow.com; [Investor Grievance Email (Guessed Pattern)] contact@agritechtomorrow.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"84","Unassigned","Agro Phos India Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"86","Unassigned","Ahlada Engineers Limited","https://ahlada.com","readymade-fallback","HIGH","NO","N/A","engineers@ahlada.com","[General Contact Email] engineers@ahlada.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 51. Lighthouse A11y: 30/100."
"88","Unassigned","Ahluwalia Contracts (India) Limited","https://acilnet.com","readymade-fallback","HIGH","NO","N/A","info@acilnet.com","[General Contact Email (Guessed Pattern)] info@acilnet.com; [Investor Grievance Email (Guessed Pattern)] contact@acilnet.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 8. Lighthouse A11y: 68/100."
"92","Unassigned","Airan Limited","https://airanlimited.in","readymade-fallback","HIGH","NO","N/A","info@airanlimited.in","[General Contact Email (Guessed Pattern)] info@airanlimited.in; [Investor Grievance Email (Guessed Pattern)] contact@airanlimited.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"93","Unassigned","Airo Lam limited","https://airolam.com","readymade-fallback","HIGH","NO","N/A","info@airolam.com","[General Contact Email (Guessed Pattern)] info@airolam.com; [Investor Grievance Email (Guessed Pattern)] contact@airolam.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"94","Unassigned","Ajanta Pharma Limited","https://ajantapharma.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"95","Unassigned","Ajax Engineering Limited","https://ajax-engg.com","readymade-fallback","HIGH","NO","N/A","info@ajax-engg.com","[General Contact Email (Guessed Pattern)] info@ajax-engg.com; [Investor Grievance Email (Guessed Pattern)] contact@ajax-engg.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"96","Unassigned","Ajmera Realty & Infra India Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"97","Unassigned","Ajooni Biotech Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"98","Unassigned","Akash Infra-Projects Limited","https://akashinfra.com","readymade-fallback","HIGH","NO","N/A","info@akashinfra.com","[General Contact Email (Guessed Pattern)] info@akashinfra.com; [Investor Grievance Email (Guessed Pattern)] contact@akashinfra.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"100","Unassigned","Akg Exim Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"76","Unassigned","Akme Fintrade (India) Limited","https://akmefintrade.com","readymade-fallback","HIGH","NO","N/A","care@akmefintrade.com","[General Contact Email] care@akmefintrade.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"104","Unassigned","Aksh Optifibre Limited","https://akshoptifibre.com","readymade-fallback","HIGH","NO","N/A","aksh@akshoptifibre.com","[Investor Grievance / Compliance Officer Email] aksh@akshoptifibre.com; [General Contact Email] aksh@akshoptifibre.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 16. Lighthouse A11y: 36/100."
"103","Unassigned","AksharChem India Limited","https://aksharchemindia.com","readymade-fallback","HIGH","NO","N/A","mktg@aksharchemindia.com","[General Contact Email] mktg@aksharchemindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"102","Unassigned","Akshar Spintex Limited","https://aksharspintex.in","readymade-fallback","HIGH","NO","N/A","info@aksharspintex.in","[General Contact Email (Guessed Pattern)] info@aksharspintex.in; [Investor Grievance Email (Guessed Pattern)] contact@aksharspintex.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"105","Unassigned","Akums Drugs and Pharmaceuticals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"106","Unassigned","Alankit Limited","https://alankit.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"107","Unassigned","Albert David Limited","https://albertdavidindia.com","readymade-fallback","HIGH","NO","N/A","albertdavid@adlindia.in","[Investor Grievance / Compliance Officer Email] mdpldc@yahoo.com; [General Contact Email] albertdavid@adlindia.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"108","Unassigned","Alembic Limited","https://alembiclimited.com","readymade-fallback","HIGH","NO","N/A","alembic.investors@alembic.co.in","[Investor Grievance / Compliance Officer Email] alembic.investors@alembic.co.in; [General Contact Email] alembic.investors@alembic.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"154","Unassigned","Alembic Pharmaceuticals Limited","https://alembicpharmaceuticals.com","readymade-fallback","HIGH","NO","N/A","infoal@alembic.co.in","[Investor Grievance / Compliance Officer Email] apl.investors@alembic.co.in; [General Contact Email] infoal@alembic.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 24. Lighthouse A11y: 30/100."
"109","Unassigned","Algoquant Fintech Limited","https://algoquantfintech.com","readymade-fallback","HIGH","NO","N/A","info@algoquantfintech.com","[General Contact Email (Guessed Pattern)] info@algoquantfintech.com; [Investor Grievance Email (Guessed Pattern)] contact@algoquantfintech.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 11. Lighthouse A11y: 56/100."
"110","Unassigned","Alicon Castalloy Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"111","Unassigned","Alivus Life Sciences Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"112","Unassigned","Alkali Metals Limited","https://alkalimetals.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"113","Unassigned","Alkem Laboratories Limited","https://alkemlabs.com","readymade-fallback","HIGH","NO","N/A","contact@alkem.com","[General Contact Email] contact@alkem.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 22. Lighthouse A11y: 30/100."
"114","Unassigned","Alkyl Amines Chemicals Limited","https://alkylamines.com","readymade-fallback","HIGH","NO","N/A","intlsales@alkylamines.com","[General Contact Email] intlsales@alkylamines.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 24. Lighthouse A11y: 30/100."
